臺北市 內湖區 投開票所,其他,高嘉瑜,李彥秀
港華里_5_6_7_8,0.19484425714140058,0.7237072408109165,0.770098730606488
港華里_3_14_15_16_18,0.20099307307478514,0.7486263736263736,0.6379345362808397
港華里_4_13_23_24_25,0.25262916947492914,0.7725752508361204,0.6712298281979222
內湖里_1_2_3_4_5_7,0.20805679369122257,0.6648431377351097,0.7258522727272727
內湖里_6_8_10_19_23,0.14844350714471244,0.6373389708930589,0.7276958882854926
內湖里_9_11_15_18_20_21,0.16992228075876137,0.4988041144853963,0.7413544668587896
內湖里_12_13_14_16_17_22_24_25,0.20899938696274095,0.4636741366391935,0.7335740072202166
湖濱里_27_28_29_32_33_34,0.1929837962962963,0.6032430555555555,0.7773333333333333
湖濱里_1_2_3_4_5_6,0.1608352309055626,0.521764686087337,0.7471872931833223
湖濱里_9_21_22_23_24_25_26_30_31,0.2161815697236528,0.6680707864363206,0.7712800519818064
湖濱里_10_11_12_13_14_19_20,0.15337223847862147,0.4354676056803716,0.7723387723387724
湖濱里_7_8_15_16_17_18,0.16105953890436567,0.5325946116042093,0.7540514775977121
紫星里_1_3_9_13_14_15_16_17,0.28586971304229564,0.680564828208647,0.740662438336857
紫星里_2_4_6_7_12_18_19,0.18241721578113268,0.6891317040620569,0.7702060221870047
紫星里_20_21_22_24_25_26_27_35,0.23409363745498202,0.7664399092970522,0.7577697745764973
紫星里_28_29_30_31_32_33_34,0.2518231238398303,0.68985348713869,0.766109785202864
紫星里_5_8_10_11_23_36_37_38_39,0.21371118918018217,0.7043920795378804,0.7659409020217729
大湖里_7_8_9_10_11_12_13,0.19427660187474458,0.5928293366030808,0.7356797791580401
大湖里_14_15_16_17_18_19_20_21_22,0.17543004437173335,0.5924137652245457,0.7637954239569313
大湖里_1_2_3_4_5_6_23_24_25,0.19435187454055378,0.534802744425386,0.7371967654986523
金龍里_1_2_3_4_5_6_7,0.17289081365318815,0.6098086838155086,0.758575197889182
金龍里_8_9_10_11_12_13_14,0.22306592767109049,0.579677904145268,0.7220291869353718
金龍里_15_16_17_18_19_20_21_22_23,0.19681054239877768,0.7070600967659791,0.7653743315508021
金瑞里_1_2_3_4_5_6,0.21519798727625272,0.7697466467958272,0.7250516802076823
金瑞里_7_8_9_23_24,0.1941489774084009,0.6399725551610251,0.7665289256198347
金瑞里_10_11_12_13_14_15_22,0.18122614503816795,0.6774809160305344,0.7045801526717558
金瑞里_16_17_18_19_20_21,0.21675690926923644,0.6428475459834204,0.7809187279151943
碧山里_1_2_3,0.16910584917586424,0.7175572519083969,0.40219769533719063
碧山里_4_5_6_7_8_10,0.19939594785767084,0.5572160734652719,0.7675378266850069
碧山里_9_11_12_13_14,0.17629963825549727,0.5430028858269317,0.7489208633093525
碧山里_15_16_17_18_19,0.19794936605650454,0.63952872110563,0.7072037180480247
碧山里_20_21_22_23_24,0.19678955321757477,0.5841213722489919,0.7590454195535027
紫雲里_1_2_4_7_13_19,0.23322487568297626,0.6783105162993431,0.7406225059856345
紫雲里_10_14_17_18,0.15914112293843222,0.4035950128129312,0.74812734082397
紫雲里_8_9_11_12_15_16_23,0.12081322217346789,0.4330447963620407,0.7421383647798742
紫雲里_3_5_6_20_21_22,0.1745960965765917,0.5350008830879048,0.7576509511993383
清白里_2_3_4_6_7_8_31,0.17351868352991864,0.5179662194922945,0.7368069472277889
清白里_5_9_10_13_25_30,0.2037617856224419,0.5907724254288248,0.7617135207496654
清白里_24_26_27_28_29_32,0.1896940418679549,0.4876109665964738,0.7551282051282051
清白里_15_16_17_18_19_20_22,0.23463351416762399,0.7039005425028719,0.7579034941763727
清白里_1_11_12_14_21_23,0.17557651991614254,0.6595982775228058,0.7545045045045045
葫洲里_1_2_3_4_8,0.18239203258458017,0.5213145408947328,0.7309292649098474
葫洲里_5_6_7_9_10_11,0.17587333691650517,0.5709119090674245,0.7481381178063643
葫洲里_12_13_14_15,0.1775656076900126,0.6964857887841011,0.7515923566878981
葫洲里_16_17_18_19_20,0.1370020429009193,0.5506944861703619,0.7535112359550562
紫陽里_2_11_13_18,0.18313555454130534,0.6657918758557736,0.7428115015974441
紫陽里_1_12_14_15,0.1850737100737101,0.6286855036855037,0.745945945945946
紫陽里_3_9_16_17,0.2638222773515,0.7259313618843822,0.7494569152787834
紫陽里_4_6_7_8_10_22,0.19250301854078106,0.6119872081968115,0.7714486638537271
紫陽里_5_19_20_21,0.19111959287531807,0.5977875987679121,0.7529824561403509
瑞陽里_2_3_4_7_12_15_22,0.11831644084071267,0.40649311853195347,0.7614424410540915
瑞陽里_18_19_25_26_27_28,0.1624071871025967,0.5752553636624687,0.7786438035853468
瑞陽里_6_8_9_10,0.17173113361750206,0.47338060310215796,0.7600969305331179
瑞陽里_11_16_17_20_21_23,0.21059753609206786,0.7294332841007077,0.7772963604852686
瑞陽里_1_5_13_14_24,0.07719580983078163,0.3247125334151926,0.7719580983078163
瑞光里_1_2_3_4_5_6_7,0.20141634980988593,0.6442126108998733,0.7673003802281368
瑞光里_8_9_10_11_12_13,0.16264270204028983,0.4879281061208694,0.768566493955095
瑞光里_14_15_16_17_18_19_20,0.13325809642159722,0.4112373513225635,0.7508305647840532
五分里_1_2_19_26_27_28_29,0.20509144859180695,0.7453323375653472,0.713651544693442
五分里_20_21_23_24_25_32,0.17348016942626107,0.584354254909511,0.7456603773584906
五分里_14_15_16_17_18_31,0.20348390754245368,0.7494163424124514,0.6402298554384519
五分里_4_5_6_10_30_34,0.22905233895284444,0.7159887798036466,0.690360546074657
五分里_7_9_22_33,0.22704953219916377,0.7319568835231783,0.7557732680195941
