臺北市 南港區 投開票所,其他,高嘉瑜,李彥秀
東新里_10_19_20_21_22,0.3511705685618729,0.939799331103679,1.0
重陽里_2_3_6_7_9,0.2375249500998004,0.6387225548902196,1.0
重陽里_1_4_5_11,0.23317307692307693,0.8004807692307693,1.0
重陽里_8_14,0.31662870159453305,0.8906605922551253,1.0
重陽里_10_12_13,0.2175824175824176,0.7824175824175824,1.0
東明里_1_3_4_5,0.23514851485148514,0.9455445544554455,1.0
東明里_2_6_7_8_9,0.23777777777777778,0.6533333333333333,1.0
東明里_10_11_12_17,0.3514376996805112,0.9776357827476039,1.0
東明里_13_14_15_16,0.18375241779497098,0.5783365570599613,1.0
西新里_1_2_3_4_5_17,0.23543123543123542,1.0,0.8391608391608392
西新里_6_7_8_9_12,0.26373626373626374,1.0,0.8417582417582418
西新里_10_11_13_14_15_16,0.23799582463465555,1.0,0.7369519832985386
玉成里_1_2_3_6_7_8_11_12_13,0.23758099352051837,1.0,0.8941684665226782
玉成里_9_10_17_18_19_20_21,0.2562929061784897,0.8581235697940504,1.0
玉成里_4_5_14_15_16,0.27901785714285715,0.9196428571428571,1.0
合成里_1_2_10_11_12_13_14,0.3264705882352941,0.8411764705882353,1.0
合成里_3_4_25_26,0.2549019607843137,0.8627450980392157,1.0
合成里_5_6_7_8_9,0.20623501199040767,0.8657074340527577,1.0
合成里_15_16_17_18_19_20,0.2937853107344633,0.8870056497175142,1.0
合成里_21_22_23_24,0.30547550432276654,0.9077809798270894,1.0
新光里_1_2_3_4_5_6,0.20833333333333334,0.6759259259259259,1.0
新光里_7_8_9_10_11_12,0.23,0.755,1.0
新光里_13_14_15_16_17_18,0.23723723723723725,0.7387387387387387,1.0
聯成里_1_2_3_4_5_6,0.18345323741007194,0.6348920863309353,1.0
聯成里_7_8_9_10_11_12,0.29723502304147464,1.0,0.9769585253456221
聯成里_13_14_15_16_17_18_19,0.2097457627118644,0.809322033898305,1.0
萬福里_3_4_9_10_11_17,0.2013888888888889,0.7245370370370371,1.0
萬福里_5_6_7_8_18_19,0.2684729064039409,0.9876847290640394,1.0
萬福里_1_2_12_13_14_15_16,0.125,0.5160256410256411,1.0
鴻福里_1_2_3_5_6_7,0.19825708061002179,0.8235294117647058,1.0
鴻福里_8_13_14_15_17,0.20518358531317496,0.7667386609071274,1.0
鴻福里_4_9_10_11_12_16,0.2533632286995516,0.874439461883408,1.0
百福里_2_3_4_5_6_21_22,0.29310344827586204,0.9956896551724138,1.0
百福里_13_14_15_16_17_18_19_20,0.20076481835564053,0.7609942638623327,1.0
百福里_1_7_8_9_10_11_12,0.25595238095238093,0.8630952380952381,1.0
成福里_3_4_5_6_15_27,0.22981366459627328,0.8178053830227743,1.0
成福里_21_22_23_24_25_26_30,0.15412844036697249,0.6935779816513762,1.0
成福里_16_17_18_19_20,0.25757575757575757,0.7424242424242424,1.0
成福里_7_8_9_10_11_31,0.17988394584139264,0.6363636363636364,1.0
成福里_1_2_12_13_14,0.15900383141762453,0.5957854406130269,1.0
仁福里_1_2_3_4,0.1962809917355372,0.5247933884297521,1.0
仁福里_6_7_8,0.23115577889447236,0.6155778894472361,1.0
仁福里_9_10_11_12,0.19330855018587362,0.6617100371747212,1.0
仁福里_5_13_14_15,0.2147117296222664,0.6282306163021869,1.0
