臺北市 內湖區 投開票所,吳欣岱,高嘉瑜,李彥秀
瑞光里_8_9_10_11_12_13,0.1546700205677266,0.4879281061208694,0.768566493955095
瑞光里_14_15_16_17_18_19_20,0.12036215160660393,0.4112373513225635,0.7508305647840532
五分里_1_2_19_26_27_28_29,0.19341957753373662,0.7453323375653472,0.713651544693442
五分里_20_21_23_24_25_32,0.1597843665768194,0.584354254909511,0.7456603773584906
五分里_14_15_16_17_18_31,0.19024918184863557,0.7494163424124514,0.6402298554384519
五分里_4_5_6_10_30_34,0.21303469287222596,0.7159887798036466,0.690360546074657
五分里_7_9_22_33,0.21275970150131432,0.7319568835231783,0.7557732680195941
五分里_3_8_11_12_13,0.16499345264076823,0.7088607594936709,0.6538629419467482
東湖里_1_2_3_4,0.17459380613661107,0.7416232315711094,0.6583307735976803
東湖里_5_6_7_8,0.23398084354039075,0.692111402741324,0.7491319444444444
東湖里_9_10_11_12,0.18738534898842785,0.7478532396565184,0.6752625188772176
東湖里_13_14_15_16,0.18261346913032306,0.7010500128477657,0.7443820224719101
東湖里_17_18_19_20,0.15887251761691223,0.7877428998505231,0.7844330557335042
樂康里_1_2_3_4_26,0.20376889625181197,0.6676330503209774,0.7272727272727273
樂康里_5_6_7_8,0.16545929548216695,0.7227958697378872,0.693187364230552
樂康里_9_10_11_12_13,0.20195580140264546,0.7165547184382324,0.7495667244367418
樂康里_14_15_16_17_18_19_20,0.14937942234079574,0.7405405405405405,0.6086416888991996
樂康里_21_22_23_24_25,0.23649948366979162,0.7351192284069357,0.7430025445292621
內溝里_12_13_14_15,0.20665420738747958,0.7273417691382861,0.7800183318056828
內溝里_6_8_16,0.15915686064117696,0.6599186904634167,0.7433789954337899
內溝里_1_11_17,0.17885283755475148,0.6107170062845172,0.7764830508474576
內溝里_2_3_4_5_7_9_10,0.11574074074074073,0.6944444444444444,0.49327601410934746
週美里_1_2_3_4,0.19896649966879112,0.7290132547864506,0.6303258709507302
週美里_5_6_7_8_9_10,0.15256523457753457,0.6715722008039139,0.7471418964357768
週美里_11_12_13_14_15_16,0.19460294306920073,0.7436612467287314,0.745398773006135
週美里_17_18_19_20_21_22_23,0.15389432640593032,0.5869458030365715,0.759927797833935
週美里_24_25_26_27_28_29_30,0.15872155118042133,0.5549287315706459,0.7410983705491853
行善里_1_2_3_4_5_6,0.16875799573560768,0.7414285714285714,0.5145735607675906
行善里_7_8_9_10_11_12_13,0.20134967878823598,0.7451523545706371,0.7451523545706371
行善里_14_15_16_17,0.13302943969610637,0.5359924026590693,0.7555555555555555
行善里_18_19_20_21_22,0.20891447563653626,0.5993234019823135,0.7586206896551724
石潭里_12_14_15_16_17_18_19_20,0.16341150939943003,0.7059377206055376,0.7451564828614009
石潭里_1_2_3_4_5_6_7_8_9_10,0.17348776201146565,0.4427407686532604,0.7064421669106882
石潭里_11_13,0.19441658520483948,0.6334217776028641,0.7118155619596542
