臺北市 南港區 投開票所,其他,高嘉瑜,李彥秀
鴻福里_4_9_10_11_12_16,0.1935923542961952,0.6681506033231515,0.7640901771336553
百福里_2_3_4_5_6_21_22,0.2094723163317399,0.7115897804798812,0.7146702557200538
百福里_13_14_15_16_17_18_19_20,0.14851096152335053,0.5629272636789858,0.7397260273972602
百福里_1_7_8_9_10_11_12,0.18735924801723292,0.6317928130813669,0.7320082248115147
成福里_3_4_5_6_15_27,0.1721861471861472,0.6127344877344877,0.7492424242424243
成福里_21_22_23_24_25_26_30,0.11626017936295227,0.5231708071332852,0.7543071161048689
成福里_16_17_18_19_20,0.19101123595505617,0.550561797752809,0.7415730337078652
成福里_7_8_9_10_11_31,0.14146652022199974,0.5004568296025582,0.7864321608040201
成福里_1_2_12_13_14,0.12117097302707493,0.4540261760412085,0.762063227953411
仁福里_1_2_3_4,0.15027763429752067,0.40179493801652894,0.765625
仁福里_6_7_8,0.1740773539830299,0.4635755622374165,0.7530737704918032
仁福里_9_10_11_12,0.1514300887641302,0.5183568423079842,0.783359497645212
仁福里_5_13_14_15,0.1610337972166998,0.4711729622266402,0.75
