臺北市 南港區 投開票所,吳欣岱,高嘉瑜,李彥秀
東明里_13_14_15_16,0.12433231209438694,0.42730300363473217,0.7388483373884833
西新里_1_2_3_4_5_17,0.16406212834784262,0.7568027210884354,0.6350792065077779
西新里_6_7_8_9_12,0.18568140520896426,0.7543307086614173,0.6349640910270831
西新里_10_11_13_14_15_16,0.17022694593518353,0.7549880287310455,0.5563899251399981
玉成里_1_2_3_6_7_8_11_12_13,0.16152040169869683,0.7404351087771943,0.6620737257748562
玉成里_9_10_17_18_19_20_21,0.16826947839331308,0.6373843878534586,0.7427652733118971
玉成里_4_5_14_15_16,0.1941005161830357,0.7076939174107143,0.76953125
合成里_1_2_10_11_12_13_14,0.21806011249121163,0.6174771502226388,0.7340637450199203
合成里_3_4_25_26,0.17345914475005017,0.6360168640835174,0.7372013651877133
合成里_5_6_7_8_9,0.14463821612866776,0.6526799502806132,0.7539267015706806
合成里_15_16_17_18_19_20,0.17998850537319586,0.6571673335719012,0.7408829174664108
合成里_21_22_23_24,0.13241705460725633,0.6620852730362817,0.7293447293447294
新光里_1_2_3_4_5_6,0.14399744572158366,0.5127713920817368,0.7586206896551724
新光里_7_8_9_10_11_12,0.14938852304797742,0.5639416745061148,0.7469426152398871
新光里_13_14_15_16_17_18,0.14746089372955046,0.518219712249563,0.7014925373134329
聯成里_1_2_3_4_5_6,0.12540312577524187,0.4811663412897868,0.7578710644677661
聯成里_7_8_9_10_11_12,0.18499037072701013,0.7365671641791045,0.7195955705344247
聯成里_13_14_15_16_17_18_19,0.14037173040297055,0.6235116396969157,0.7704122877930477
萬福里_3_4_9_10_11_17,0.1437258153676064,0.5623272526257601,0.7761194029850746
萬福里_5_6_7_8_18_19,0.19106895287538928,0.7739257586164756,0.7835757057313943
萬福里_1_2_12_13_14_15_16,0.0802052873426031,0.4099381353066381,0.7944142746314973
鴻福里_1_2_3_5_6_7,0.13265476590284772,0.6041385724250175,0.733596837944664
鴻福里_8_13_14_15_17,0.13967782577393809,0.5833603311735062,0.7608333333333334
鴻福里_4_9_10_11_12_16,0.17303387419394436,0.6681506033231515,0.7640901771336553
百福里_2_3_4_5_6_21_22,0.19098946489070404,0.7115897804798812,0.7146702557200538
百福里_13_14_15_16_17_18_19_20,0.13719584064538096,0.5629272636789858,0.7397260273972602
百福里_1_7_8_9_10_11_12,0.1757400698456216,0.6317928130813669,0.7320082248115147
成福里_3_4_5_6_15_27,0.14891774891774892,0.6127344877344877,0.7492424242424243
成福里_21_22_23_24_25_26_30,0.10795588083702712,0.5231708071332852,0.7543071161048689
成福里_16_17_18_19_20,0.17790262172284643,0.550561797752809,0.7415730337078652
成福里_7_8_9_10_11_31,0.11256475802610733,0.5004568296025582,0.7864321608040201
成福里_1_2_12_13_14,0.09927260440772402,0.4540261760412085,0.762063227953411
仁福里_1_2_3_4,0.14553202479338842,0.40179493801652894,0.765625
仁福里_6_7_8,0.15704804761512478,0.4635755622374165,0.7530737704918032
仁福里_9_10_11_12,0.12522103493956918,0.5183568423079842,0.783359497645212
仁福里_5_13_14_15,0.14761431411530815,0.4711729622266402,0.75
